id,x_coord,y_coord,Elevation1
50965,-47174.815,-143871.228,0
50966,-47174.815,-144121.228,-0.200000002980232
50967,-47174.815,-144371.228,-0.100000001490116
50968,-47174.815,-144621.228,-0.362689703702927
50969,-47174.815,-144871.228,0.247781217098236
50970,-47174.815,-145121.228,0.424112558364868
50971,-47174.815,-145371.228,1.7630786895752
50972,-47174.815,-145621.228,3.5370306968689
50973,-47174.815,-145871.228,2.40000009536743
50974,-47174.815,-146121.228,1.21984660625458
51311,-46924.815,-143371.228,0.200000002980232
51312,-46924.815,-143621.228,0.101021982729435
51313,-46924.815,-143871.228,0.300000011920929
51314,-46924.815,-144121.228,0.300000011920929
51315,-46924.815,-144371.228,0.387048035860062
51316,-46924.815,-144621.228,0.310285806655884
51317,-46924.815,-144871.228,0.635261952877045
51318,-46924.815,-145121.228,2.24385237693787
51319,-46924.815,-145371.228,3.35244345664978
51320,-46924.815,-145621.228,2.95825695991516
51321,-46924.815,-145871.228,1.83907246589661
51322,-46924.815,-146121.228,0.725054144859314
51659,-46674.815,-143371.228,0.400000005960464
51660,-46674.815,-143621.228,0.400000005960464
51661,-46674.815,-143871.228,0.699999988079071
51662,-46674.815,-144121.228,0.899999976158142
51663,-46674.815,-144371.228,0.899999976158142
51664,-46674.815,-144621.228,0.800000011920929
51665,-46674.815,-144871.228,1.02508735656738
51666,-46674.815,-145121.228,2.93636298179626
51667,-46674.815,-145371.228,3.45966124534607
51668,-46674.815,-145621.228,2.40000009536743
51669,-46674.815,-145871.228,1.29999995231628
51670,-46674.815,-146121.228,0.443730086088181
33251,-59924.815,-152371.228,
33252,-59924.815,-152621.228,
33253,-59924.815,-152871.228,
33254,-59924.815,-153121.228,
33598,-59674.815,-152121.228,
33599,-59674.815,-152371.228,
33600,-59674.815,-152621.228,
33945,-59424.815,-151871.228,
33946,-59424.815,-152121.228,
33947,-59424.815,-152371.228,
34293,-59174.815,-151871.228,
34294,-59174.815,-152121.228,
34295,-59174.815,-152371.228,
34642,-58924.815,-152121.228,
36719,-57424.815,-149371.228,0.328317552804947
37066,-57174.815,-149121.228,0.398588240146637
37067,-57174.815,-149371.228,1.52389705181122
37068,-57174.815,-149621.228,2.70000004768372
37069,-57174.815,-149871.228,3.87241220474243
37412,-56924.815,-148621.228,2.32545351982117
37413,-56924.815,-148871.228,0.901620209217072
37414,-56924.815,-149121.228,0.800000011920929
37415,-56924.815,-149371.228,1.61154425144196
37416,-56924.815,-149621.228,2.82011032104492
37417,-56924.815,-149871.228,3.14888596534729
37418,-56924.815,-150121.228,0.569114685058594
37760,-56674.815,-148621.228,0.576376259326935
